970	BANCOS ESTABLECIDOS EN CHILE
8110000	 0000008735531,00	
8111000	 0000000000000,00	
8113000	 0000005200279,00	
8114000	 0000001673751,00	
8115000	 0000001861501,00	
8130000	 0000001881307,00	
8131000	 0000000000000,00	
8133000	 0000000392047,00	
8134000	 0000000037555,00	
8135000	 0000001451705,00	
8140000	 0000000318491,00	
8141000	 0000000000000,00	
8143000	 0000000070047,00	
8144000	 0000000016906,00	
8145000	 0000000231538,00	
8310000	 0000051607168,00	
8311000	 0000001707254,00	
8312000	 0000000254865,00	
8314000	 0000001014675,00	
8315000	 0000008218680,00	
8315100	 0000006361922,00	
8315200	 0000001856758,00	
8317000	 0000038174727,00	
8318000	 0000002212153,00	
8318100	 0000000978850,00	
8318900	 0000001233303,00	
8319000	 0000000024814,00	
8510000	 0000078373620,00	
8511000	 0000000723113,00	
8513000	 0000077650507,00	
8520000	 0000005431359,00	
8521000	 0000000000000,00	
8523000	 0000005431359,00	
8530000	 0000002339348,00	
8531000	 0000000000000,00	
8533000	 0000002339348,00	
8540000	 0000085605947,00	
8543000	 0000019172668,00	
8544000	 0000046454241,00	
8545000	 0000019979038,00	
8560000	 0000005209892,00	
8563000	 0000001674642,00	
8564000	 0000001673751,00	
8565000	 0000001861499,00	
8610000	 0000018081860,00	
8620000	 0000000334453,00	
8630000	 0000000050389,00	
8640000	 0000033022473,00	
8660000	 0000000117993,00	
8700000	 0000000041906,00	
8710000	 0000000054735,00	
8711000	 0000000002943,00	
8712000	 0000000022090,00	
8713000	 0000000002015,00	
8714000	 0000000002753,00	
8715000	 0000000006148,00	
8716000	 0000000004189,00	
8717000	 0000000014597,00	
8720000	 0000000015907,00	
8721000	 0000000001959,00	
8722000	 0000000005237,00	
8723000	 0000000000340,00	
8724000	 0000000000001,00	
8725000	 0000000004884,00	
8726000	 0000000000304,00	
8727000	 0000000003182,00	
8910000	 0000002719318,00	
8911000	 0000000000000,00	
8913000	 0000001760788,00	
8914000	 0000000540134,00	
8915000	 0000000418396,00	
