051	BANCO FALABELLA
811000000	 0229526811042,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0006145833403,00	
811200100	 0000577542837,00	
811200101	 0000005240607,00	
811200102	 0000000000000,00	
811200103	 0000572302230,00	
811200104	 0000000000000,00	
811200600	 0000000000000,00	
811200700	 0000000000000,00	
811200800	 0000000000000,00	
811200900	 0000000000000,00	
811201000	 0000000000000,00	
811201100	 0005568290566,00	
811201200	 0000000000000,00	
811300000	 0029164126429,00	
811300100	 0003506361496,00	
811300200	 0005184017955,00	
811300300	 0000000000000,00	
811300400	 0019175665783,00	
811300500	 0000000000000,00	
811300600	 0001298081195,00	
811400000	 0194216851210,00	
811400100	 0054736580427,00	
811400200	 0009030806623,00	
811400300	 0130449464160,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0066994614187,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0003384692655,00	
812200100	 0000030717931,00	
812200101	 0000000000000,00	
812200102	 0000000000000,00	
812200103	 0000030717931,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0000000000000,00	
812201100	 0003353974724,00	
812201200	 0000000000000,00	
812300000	 0000613572023,00	
812300100	 0000141656711,00	
812300200	 0000073065022,00	
812300300	 0000000000000,00	
812300400	 0000360789879,00	
812300500	 0000000000000,00	
812300600	 0000038060411,00	
812400000	 0062996349509,00	
812400100	 0002131303772,00	
812400200	 0002677298008,00	
812400300	 0058187747729,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0138287596901,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0001097688284,00	
813200100	 0000000000000,00	
813200101	 0000000000000,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000000000000,00	
813201000	 0000000000000,00	
813201100	 0001097688284,00	
813201200	 0000000000000,00	
813300000	 0000812348331,00	
813300100	 0000000000000,00	
813300200	 0000812348331,00	
813300300	 0000000000000,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0136377560286,00	
813400100	 0026095044616,00	
813400200	 0002550468509,00	
813400300	 0107732047161,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0039727013991,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0000406691044,00	
814200100	 0000001317013,00	
814200101	 0000001317013,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000000000000,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0000000000000,00	
814201100	 0000405374031,00	
814201200	 0000000000000,00	
814300000	 0000590596218,00	
814300100	 0000590596218,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0000000000000,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0038729726729,00	
814400100	 0010221012570,00	
814400200	 0000813681778,00	
814400300	 0027695032381,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 4471461603261,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
821200000	 0078026950193,00	
821200100	 0017505139150,00	
821200101	 0015678549283,00	
821200102	 0000000000000,00	
821200103	 0001826589867,00	
821200104	 0000000000000,00	
821200600	 0000000000000,00	
821200700	 0000883877565,00	
821200800	 0000000000000,00	
821200900	 0000000000000,00	
821201000	 0000000000000,00	
821201100	 0059637933478,00	
821201200	 0000000000000,00	
821300000	 0609528678419,00	
821300100	 0052646594311,00	
821300200	 0063167932432,00	
821300300	 0000000000000,00	
821300400	 0476970195588,00	
821300500	 0000000000000,00	
821300600	 0016743956088,00	
821400000	 3783905974649,00	
821400100	 0973298743133,00	
821400200	 0067068427184,00	
821400300	 2743538804332,00	
821400400	 0000000000000,00	
821400500	 0000000000000,00	
831000000	 3797569601668,00	
831100000	 0000000000000,00	
831100100	 0000000000000,00	
831100200	 0000000000000,00	
831200000	 0000000000000,00	
831300000	 0000000000000,00	
831500000	 0000000000000,00	
831500100	 0000000000000,00	
831500200	 0000000000000,00	
831600000	 3797559413404,00	
831600100	 0003894134958,00	
831600200	 0000000000000,00	
831600300	 0284855060436,00	
831600400	 3508810218010,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0000010188264,00	
831800100	 0000010188264,00	
831800200	 0000000000000,00	
831900000	 0000000000000,00	
832000000	 0023683309812,00	
832100000	 0000000000000,00	
832100100	 0000000000000,00	
832100200	 0000000000000,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0023683309812,00	
832500100	 0000000000000,00	
832500200	 0000000000000,00	
832500300	 0023683309812,00	
832700000	 0000000000000,00	
