055	BANCO CONSORCIO
411000000	 0195060108913,00	
411100000	 0152522053273,00	
411150000	 0000241527963,00	
411150100	 0000000557184,00	
411150101	 0000000557184,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000240970779,00	
411150301	 0000240970779,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0014443074920,00	
411200100	 0012858241617,00	
411200101	 0007872471528,00	
411200102	 0004985770089,00	
411200109	 0000000000000,00	
411200200	 0000547435488,00	
411200201	 0000000000000,00	
411200202	 0000508015951,00	
411200209	 0000039419537,00	
411200300	 0001037397815,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0001037397815,00	
411250000	 0000565069446,00	
411250100	 0000565069446,00	
411250101	 0000565069446,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000000000000,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0103966980203,00	
411280100	 0084711387979,00	
411280101	 0082427455064,00	
411280102	 0000000000000,00	
411280103	 0000000000000,00	
411280104	 0000000000000,00	
411280105	 0002040416229,00	
411280106	 0000243516686,00	
411280200	 0006830502740,00	
411280201	 0000000000000,00	
411280202	 0003273538201,00	
411280203	 0000000000000,00	
411280204	 0003556964539,00	
411280205	 0000000000000,00	
411280209	 0000000000000,00	
411280300	 0000177463313,00	
411280400	 0000000000000,00	
411280500	 0007803103405,00	
411280501	 0003857142110,00	
411280502	 0003945961295,00	
411280600	 0004444522766,00	
411280601	 0000340526636,00	
411280602	 0004103996130,00	
411280700	 0000000000000,00	
411280701	 0000000000000,00	
411280702	 0000000000000,00	
411280709	 0000000000000,00	
411280900	 0000000000000,00	
411280901	 0000000000000,00	
411280902	 0000000000000,00	
411280990	 0000000000000,00	
411350000	 0020125984609,00	
411350100	 0000000000000,00	
411350200	 0018507353388,00	
411350300	 0000000000000,00	
411350400	 0001252012494,00	
411350401	 0001252012494,00	
411350402	 0000000000000,00	
411350500	 0000000000000,00	
411350900	 0000366618727,00	
411350901	 0000366618727,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0007580280838,00	
411380100	 0006803771416,00	
411380200	 0000539437528,00	
411380300	 0000237071894,00	
411380400	 0000000000000,00	
411380900	 0000000000000,00	
411380901	 0000000000000,00	
411380990	 0000000000000,00	
411450000	 0005599135294,00	
411450100	 0001993888901,00	
411450101	 0000000000000,00	
411450102	 0000000000000,00	
411450109	 0001993888901,00	
411450200	 0000000000000,00	
411450201	 0000000000000,00	
411450202	 0000000000000,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0002894153368,00	
411450900	 0000711093025,00	
411700000	 0047750526804,00	
411720000	 0047750526804,00	
411720100	 0031967639050,00	
411720101	 0025928935331,00	
411720102	 0006038703719,00	
411720109	 0000000000000,00	
411720200	 0010981081697,00	
411720201	 0005079345381,00	
411720202	 0001916901982,00	
411720209	 0003984834334,00	
411720300	 0004801806057,00	
411720301	 0000000000000,00	
411720302	 0002113712745,00	
411720303	 0000000000000,00	
411720304	 0000000000000,00	
411720309	 0002688093312,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	-0005212471164,00	
411800100	 0000367931687,00	
411800200	-0005580402851,00	
411800300	 0000000000000,00	
412000000	-0160491452202,00	
412100000	-0157743303043,00	
412150000	-0009010017745,00	
412150100	-0000133252393,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	-0000133252393,00	
412150104	 0000000000000,00	
412150200	-0008876765352,00	
412150201	 0000000000000,00	
412150202	-0008876765352,00	
412150300	 0000000000000,00	
412150500	 0000000000000,00	
412180000	-0094260400356,00	
412180100	-0087561858680,00	
412180200	 0000000000000,00	
412180201	 0000000000000,00	
412180202	 0000000000000,00	
412180300	-0006698541676,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	-0006698541676,00	
412250000	-0014892620799,00	
412250100	 0000000000000,00	
412250101	 0000000000000,00	
412250102	 0000000000000,00	
412250103	 0000000000000,00	
412250200	-0009858926097,00	
412250201	-0009858926097,00	
412250202	 0000000000000,00	
412250203	 0000000000000,00	
412250300	-0005033694702,00	
412250301	-0005033694702,00	
412250302	 0000000000000,00	
412250400	 0000000000000,00	
412250401	 0000000000000,00	
412250402	 0000000000000,00	
412280000	-0018976017494,00	
412280100	-0005165358688,00	
412280110	-0001753424916,00	
412280111	-0001696434045,00	
412280112	-0000056990871,00	
412280113	 0000000000000,00	
412280120	-0003411933772,00	
412280121	-0001345656000,00	
412280122	-0000564402056,00	
412280123	 0000000000000,00	
412280124	 0000000000000,00	
412280129	-0001501875716,00	
412280200	-0013810658806,00	
412280210	 0000000000000,00	
412280211	 0000000000000,00	
412280212	 0000000000000,00	
412280213	 0000000000000,00	
412280220	-0013810658806,00	
412280221	 0000000000000,00	
412280222	-0013810658806,00	
412280223	 0000000000000,00	
412280224	 0000000000000,00	
412280229	 0000000000000,00	
412280300	 0000000000000,00	
412280301	 0000000000000,00	
412280302	 0000000000000,00	
412280400	 0000000000000,00	
412280401	 0000000000000,00	
412280402	 0000000000000,00	
412350000	-0020604246649,00	
412350100	 0000000000000,00	
412350101	 0000000000000,00	
412350102	 0000000000000,00	
412350200	-0020604246649,00	
412350201	-0020604246649,00	
412350203	 0000000000000,00	
412380000	 0000000000000,00	
412380100	 0000000000000,00	
412380101	 0000000000000,00	
412380102	 0000000000000,00	
412380200	 0000000000000,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	 0000000000000,00	
412380300	 0000000000000,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	 0000000000000,00	
412380306	 0000000000000,00	
412450000	-0000096366734,00	
412500000	-0004502690746,00	
412500100	-0004502690746,00	
412800000	 0001850908321,00	
412800100	 0002463478476,00	
412800200	-0000612570154,00	
412800300	-0000000000001,00	
415000000	 0064800317560,00	
415100000	 0050367048762,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
415150101	 0000000000000,00	
415150102	 0000000000000,00	
415150103	 0000000000000,00	
415150200	 0000000000000,00	
415150201	 0000000000000,00	
415150202	 0000000000000,00	
415150203	 0000000000000,00	
415150300	 0000000000000,00	
415150301	 0000000000000,00	
415150302	 0000000000000,00	
415150400	 0000000000000,00	
415150401	 0000000000000,00	
415150402	 0000000000000,00	
415200000	 0000167618055,00	
415200100	 0000000000000,00	
415200101	 0000000000000,00	
415200102	 0000000000000,00	
415200109	 0000000000000,00	
415200200	 0000167618055,00	
415200201	 0000000000000,00	
415200202	 0000167618055,00	
415200209	 0000000000000,00	
415200300	 0000000000000,00	
415200301	 0000000000000,00	
415200302	 0000000000000,00	
415200303	 0000000000000,00	
415200304	 0000000000000,00	
415200309	 0000000000000,00	
415250000	 0000000000000,00	
415250100	 0000000000000,00	
415250101	 0000000000000,00	
415250102	 0000000000000,00	
415250103	 0000000000000,00	
415250104	 0000000000000,00	
415250105	 0000000000000,00	
415250106	 0000000000000,00	
415250107	 0000000000000,00	
415250190	 0000000000000,00	
415250200	 0000000000000,00	
415250201	 0000000000000,00	
415250202	 0000000000000,00	
415250203	 0000000000000,00	
415250204	 0000000000000,00	
415250205	 0000000000000,00	
415250206	 0000000000000,00	
415250207	 0000000000000,00	
415250208	 0000000000000,00	
415250290	 0000000000000,00	
415250300	 0000000000000,00	
415250301	 0000000000000,00	
415250302	 0000000000000,00	
415250390	 0000000000000,00	
415250400	 0000000000000,00	
415250401	 0000000000000,00	
415250402	 0000000000000,00	
415250403	 0000000000000,00	
415280000	 0023810547309,00	
415280100	 0022895385291,00	
415280101	 0020232832280,00	
415280102	 0000000000000,00	
415280103	 0000000000000,00	
415280104	 0000000000000,00	
415280105	 0002416589593,00	
415280106	 0000245963418,00	
415280200	 0000000000000,00	
415280201	 0000000000000,00	
415280209	 0000000000000,00	
415280221	 0000000000000,00	
415280229	 0000000000000,00	
415280231	 0000000000000,00	
415280239	 0000000000000,00	
415280300	 0000000000000,00	
415280400	 0000000000000,00	
415280500	 0000000000000,00	
415280501	 0000000000000,00	
415280502	 0000000000000,00	
415280600	 0000915162018,00	
415280601	 0000167670763,00	
415280602	 0000747491255,00	
415280700	 0000000000000,00	
415280701	 0000000000000,00	
415280702	 0000000000000,00	
415280709	 0000000000000,00	
415280900	 0000000000000,00	
415280901	 0000000000000,00	
415280902	 0000000000000,00	
415280990	 0000000000000,00	
415350000	 0026388883398,00	
415350100	 0000000000000,00	
415350200	 0024527415198,00	
415350300	 0000000000000,00	
415350400	 0001351991978,00	
415350401	 0001351991978,00	
415350402	 0000000000000,00	
415350500	 0000000000000,00	
415350900	 0000509476222,00	
415350901	 0000509476222,00	
415350902	 0000000000000,00	
415350903	 0000000000000,00	
415350990	 0000000000000,00	
415380000	 0000000000000,00	
415380100	 0000000000000,00	
415380200	 0000000000000,00	
415380300	 0000000000000,00	
415380400	 0000000000000,00	
415380900	 0000000000000,00	
415380901	 0000000000000,00	
415380990	 0000000000000,00	
415450000	 0000000000000,00	
415450100	 0000000000000,00	
415450101	 0000000000000,00	
415450102	 0000000000000,00	
415450109	 0000000000000,00	
415450300	 0000000000000,00	
415450900	 0000000000000,00	
415600000	 0014433268798,00	
415620000	 0014433268798,00	
415620100	 0005895233767,00	
415620101	 0000000000000,00	
415620102	 0005895233767,00	
415620109	 0000000000000,00	
415620200	 0008538035031,00	
415620201	 0004987183775,00	
415620202	 0000000000000,00	
415620209	 0003550851256,00	
415620300	 0000000000000,00	
415620301	 0000000000000,00	
415620302	 0000000000000,00	
415620303	 0000000000000,00	
415620304	 0000000000000,00	
415620309	 0000000000000,00	
415640000	 0000000000000,00	
415640100	 0000000000000,00	
415640101	 0000000000000,00	
415640102	 0000000000000,00	
415640103	 0000000000000,00	
415640104	 0000000000000,00	
415640200	 0000000000000,00	
415800000	 0000000000000,00	
415800100	 0000000000000,00	
415800200	 0000000000000,00	
415800300	 0000000000000,00	
416000000	-0042354822400,00	
416100100	-0039756859445,00	
416150000	-0000005056973,00	
416150100	 0000000000000,00	
416150101	 0000000000000,00	
416150102	 0000000000000,00	
416150103	 0000000000000,00	
416150104	 0000000000000,00	
416150200	 0000000000000,00	
416150201	 0000000000000,00	
416150202	 0000000000000,00	
416150300	 0000000000000,00	
416150500	-0000005056973,00	
416180000	-0003932765534,00	
416180100	-0001834319735,00	
416180200	 0000000000000,00	
416180201	 0000000000000,00	
416180202	 0000000000000,00	
416180300	-0002098445799,00	
416180301	 0000000000000,00	
416180302	 0000000000000,00	
416180390	-0002098445799,00	
416250000	 0000000000000,00	
416250100	 0000000000000,00	
416250101	 0000000000000,00	
416250102	 0000000000000,00	
416250103	 0000000000000,00	
416250200	 0000000000000,00	
416250201	 0000000000000,00	
416250202	 0000000000000,00	
416250203	 0000000000000,00	
416250300	 0000000000000,00	
416250301	 0000000000000,00	
416250302	 0000000000000,00	
416250400	 0000000000000,00	
416250401	 0000000000000,00	
416250402	 0000000000000,00	
416280000	 0000000212206,00	
416280100	 0000000212206,00	
416280110	 0000000000000,00	
416280111	 0000000000000,00	
416280112	 0000000000000,00	
416280113	 0000000000000,00	
416280120	 0000000212206,00	
416280121	 0000000000000,00	
416280122	 0000000000000,00	
416280123	 0000000000000,00	
416280124	 0000000000000,00	
416280129	 0000000212206,00	
416280200	 0000000000000,00	
416280210	 0000000000000,00	
416280211	 0000000000000,00	
416280212	 0000000000000,00	
416280213	 0000000000000,00	
416280220	 0000000000000,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	 0000000000000,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-0035141704818,00	
416350100	 0000000000000,00	
416350101	 0000000000000,00	
416350102	 0000000000000,00	
416350200	-0035141704818,00	
416350201	-0035141704818,00	
416350203	 0000000000000,00	
416380000	-0000677544326,00	
416380100	 0000000000000,00	
416380101	 0000000000000,00	
416380102	 0000000000000,00	
416380200	-0000677544326,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	-0000677544326,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0005262362955,00	
416500100	-0005262362955,00	
416500200	 0000000000000,00	
416800000	 0002664400000,00	
416800100	 0002664400000,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0007236244622,00	
422150100	 0000204380044,00	
422150101	 0000000000000,00	
422150102	 0000167682068,00	
422150103	 0000000000000,00	
422150104	 0000036697976,00	
422180100	 0000000000000,00	
422180101	 0000000000000,00	
422180102	 0000000000000,00	
422250100	 0000000000000,00	
422250101	 0000000000000,00	
422250102	 0000000000000,00	
422280100	 0000004310905,00	
422280101	 0000004310905,00	
422280102	 0000000000000,00	
422280103	 0000000000000,00	
422280104	 0000000000000,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0000107367803,00	
422350101	 0000033774695,00	
422350102	 0000073593108,00	
422350103	 0000000000000,00	
422350104	 0000000000000,00	
422350105	 0000000000000,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0000370046709,00	
422380101	 0000147455606,00	
422380102	 0000000000000,00	
422380103	 0000000000000,00	
422380104	 0000222591103,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000000000000,00	
422380190	 0000000000000,00	
422450100	 0000115547360,00	
422450101	 0000000000000,00	
422450102	 0000000000000,00	
422450103	 0000055276949,00	
422450104	 0000000000000,00	
422450105	 0000000000000,00	
